Iteration:1, Time:953ms, TotalError:2.3832595, ErrorChange:2.3832595
Iteration:2, Time:780ms, TotalError:2.3262048, ErrorChange:-0.057054758
Iteration:3, Time:904ms, TotalError:2.2770772, ErrorChange:-0.04912758
Iteration:4, Time:844ms, TotalError:2.2216716, ErrorChange:-0.055405617
Iteration:5, Time:825ms, TotalError:2.1560957, ErrorChange:-0.06557584
Iteration:6, Time:718ms, TotalError:2.0749195, ErrorChange:-0.08117628
Iteration:7, Time:735ms, TotalError:1.9747235, ErrorChange:-0.100196004
Iteration:8, Time:972ms, TotalError:1.8496529, ErrorChange:-0.12507057
Iteration:9, Time:779ms, TotalError:1.6959316, ErrorChange:-0.15372133
Iteration:10, Time:960ms, TotalError:1.5170897, ErrorChange:-0.17884183
Iteration:11, Time:1063ms, TotalError:1.3190634, ErrorChange:-0.1980263
Iteration:12, Time:903ms, TotalError:1.1094552, ErrorChange:-0.2096082
Iteration:13, Time:802ms, TotalError:0.9480471, ErrorChange:-0.16140813
Iteration:14, Time:729ms, TotalError:0.83375734, ErrorChange:-0.11428976
Iteration:15, Time:731ms, TotalError:0.7471296, ErrorChange:-0.08662772
Iteration:16, Time:731ms, TotalError:0.6805287, ErrorChange:-0.06660092
Iteration:17, Time:785ms, TotalError:0.6290987, ErrorChange:-0.051429987
Iteration:18, Time:967ms, TotalError:0.5524325, ErrorChange:-0.076666236
Iteration:19, Time:739ms, TotalError:0.42461842, ErrorChange:-0.12781405
Iteration:20, Time:730ms, TotalError:0.32132626, ErrorChange:-0.10329217
Iteration:21, Time:712ms, TotalError:0.2467577, ErrorChange:-0.074568555
Iteration:22, Time:719ms, TotalError:0.18926841, ErrorChange:-0.05748929
Iteration:23, Time:738ms, TotalError:0.15266213, ErrorChange:-0.036606282
Iteration:24, Time:751ms, TotalError:0.12983549, ErrorChange:-0.022826642
Iteration:25, Time:734ms, TotalError:0.11241221, ErrorChange:-0.01742328
Iteration:26, Time:722ms, TotalError:0.09951666, ErrorChange:-0.012895547
Iteration:27, Time:734ms, TotalError:0.08978644, ErrorChange:-0.00973022
Iteration:28, Time:729ms, TotalError:0.08235506, ErrorChange:-0.0074313805
Iteration:29, Time:713ms, TotalError:0.07611335, ErrorChange:-0.006241709
Iteration:30, Time:716ms, TotalError:0.070449956, ErrorChange:-0.005663395
Iteration:31, Time:715ms, TotalError:0.065312, ErrorChange:-0.0051379576
Iteration:32, Time:751ms, TotalError:0.06184048, ErrorChange:-0.0034715198
Iteration:33, Time:729ms, TotalError:0.054348763, ErrorChange:-0.0074917153
Iteration:34, Time:723ms, TotalError:0.041915372, ErrorChange:-0.012433391
Iteration:35, Time:712ms, TotalError:0.039729994, ErrorChange:-0.0021853782
Iteration:36, Time:712ms, TotalError:0.03771788, ErrorChange:-0.002012115
Iteration:37, Time:716ms, TotalError:0.036015265, ErrorChange:-0.0017026141
Iteration:38, Time:711ms, TotalError:0.034478292, ErrorChange:-0.0015369728
Iteration:39, Time:708ms, TotalError:0.033097424, ErrorChange:-0.0013808683
Iteration:40, Time:778ms, TotalError:0.031899296, ErrorChange:-0.0011981279
Iteration:41, Time:825ms, TotalError:0.03079112, ErrorChange:-0.0011081751
Iteration:42, Time:765ms, TotalError:0.029762208, ErrorChange:-0.0010289121
Iteration:43, Time:727ms, TotalError:0.02885154, ErrorChange:-9.106677E-4
Iteration:44, Time:719ms, TotalError:0.028013969, ErrorChange:-8.375719E-4
Iteration:45, Time:710ms, TotalError:0.027222043, ErrorChange:-7.9192594E-4
Iteration:46, Time:851ms, TotalError:0.026509615, ErrorChange:-7.1242824E-4
Iteration:47, Time:987ms, TotalError:0.025837772, ErrorChange:-6.7184307E-4
Iteration:48, Time:938ms, TotalError:0.025207939, ErrorChange:-6.2983297E-4
Iteration:49, Time:1077ms, TotalError:0.024621973, ErrorChange:-5.859658E-4
Iteration:50, Time:802ms, TotalError:0.024078274, ErrorChange:-5.4369867E-4
Iteration:51, Time:797ms, TotalError:0.023561364, ErrorChange:-5.169101E-4
Iteration:52, Time:796ms, TotalError:0.023080219, ErrorChange:-4.8114546E-4
Iteration:53, Time:806ms, TotalError:0.022618875, ErrorChange:-4.6134368E-4
Iteration:54, Time:795ms, TotalError:0.022176025, ErrorChange:-4.4284947E-4
Iteration:55, Time:837ms, TotalError:0.021771405, ErrorChange:-4.0462054E-4
Iteration:56, Time:1097ms, TotalError:0.021380525, ErrorChange:-3.908798E-4
Iteration:57, Time:1157ms, TotalError:0.021014946, ErrorChange:-3.655795E-4
Iteration:58, Time:937ms, TotalError:0.020660236, ErrorChange:-3.547091E-4
Iteration:59, Time:831ms, TotalError:0.020319222, ErrorChange:-3.4101494E-4
Iteration:60, Time:906ms, TotalError:0.019990753, ErrorChange:-3.2846816E-4
Total Training Time: 48554ms
